Date,ES=F,NQ=F,YM=F,RTY=F,NKD=F,^STOXX50E,^GDAXI,^VIX,^IRX,2YY=F,^FVX,^TNX,^TYX,CL=F,BZ=F,NG=F,RB=F,HO=F,URA,GC=F,SI=F,PL=F,PA=F,HG=F,ALI=F,ZS=F,ZM=F,ZL=F,ZC=F,ZW=F,ZO=F,ZR=F,KC=F,CC=F,SB=F,CT=F,LE=F,GF=F,HE=F,OJ=F,DX-Y.NYB,6E=F,6J=F,6B=F,6C=F,6S=F,6A=F,6N=F,BTC-USD,ZT=F,ZF=F,ZN=F,ZB=F,SPY,TLT,QQQ,IWD,VEU,HYG,LQD
2024-09-11,,,,,,4763.580078125,18330.26953125,17.690000534057617,4.875,,3.447000026702881,3.6530001163482666,3.9630000591278076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,,,,,,4814.080078125,18518.390625,17.06999969482422,4.840000152587891,,3.4660000801086426,3.680000066757202,3.994999885559082,,,,,,25.809999465942383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0900268554688,100.13999938964844,473.2200012207031,184.6699981689453,60.72999954223633,79.41000366210938,112.86000061035156
2024-09-13,5629.75,19530.25,41427.0,2184.800048828125,36405.0,4843.990234375,18699.400390625,16.559999465942383,4.763000011444092,3.506999969482422,3.4240000247955322,3.6500000953674316,3.9769999980926514,68.6500015258789,71.61000061035156,2.305000066757202,1.9301999807357788,2.0843000411987305,25.43000030517578,2581.300048828125,30.698999404907227,1006.5,1076.0,4.175000190734863,2380.0,986.75,315.3999938964844,40.689998626708984,390.75,571.25,366.25,15.494999885559082,262.04998779296875,10079.0,19.010000228881836,69.4800033569336,177.64999389648438,241.89999389648438,78.44999694824219,483.1000061035156,101.11000061035156,1.1078499555587769,0.007096000015735626,1.3121000528335571,0.7355999946594238,1.1792000532150269,0.6703000068664551,0.6158000230789185,,104.0,110.1953125,114.921875,126.59375,562.010009765625,100.41000366210938,475.3399963378906,186.17999267578125,60.91999816894531,79.62999725341797,113.20999908447266
2024-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60005.12109375,,,,,,,,,,,
2024-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59182.8359375,,,,,,,,,,,
2024-09-16,5638.0,19433.0,41660.0,2192.300048828125,36620.0,4827.6298828125,18633.109375,17.139999389648438,4.744999885559082,3.4790000915527344,3.4049999713897705,3.621000051498413,3.937000036239624,70.08999633789062,72.75,2.372999906539917,1.9681999683380127,2.0968000888824463,25.610000610351562,2580.39990234375,30.770999908447266,987.9000244140625,1084.4000244140625,4.2129998207092285,2437.5,1004.5,320.1000061035156,39.75,410.75,578.5,363.25,15.300000190734863,259.04998779296875,7767.0,19.18000030517578,71.75,177.22500610351562,241.3000030517578,79.92500305175781,481.6499938964844,100.76000213623047,1.1126500368118286,0.007114000152796507,1.3207000494003296,0.7357000112533569,1.1837999820709229,0.6740999817848206,0.6186500191688538,58192.5078125,104.08984375,110.265625,115.078125,127.03125,562.8400268554688,101.33000183105469,473.239990234375,187.6199951171875,61.310001373291016,79.83000183105469,113.70999908447266
2024-09-17,5639.0,19439.25,41639.0,2208.800048828125,36580.0,4860.77978515625,18726.080078125,17.610000610351562,4.735000133514404,3.5220000743865967,3.433000087738037,3.6419999599456787,3.953000068664551,71.19000244140625,73.69999694824219,2.3239998817443848,2.0018999576568604,2.136699914932251,25.270000457763672,2564.300048828125,30.618999481201172,982.7999877929688,1104.699951171875,4.213500022888184,2430.25,1006.0,318.0,40.54999923706055,412.5,575.75,351.25,15.345000267028809,265.0,7620.0,19.979999542236328,70.80999755859375,178.8000030517578,243.3000030517578,81.7750015258789,485.70001220703125,100.88999938964844,1.1136000156402588,0.007079000119119883,1.3167999982833862,0.7358499765396118,1.194200038909912,0.6762999892234802,0.6191999912261963,60308.5390625,103.98828125,110.1171875,114.921875,126.84375,563.0700073242188,100.83999633789062,473.489990234375,187.63999938964844,61.06999969482422,79.8499984741211,113.72000122070312
2024-09-18,5620.75,19349.25,41526.0,2208.800048828125,36520.0,4835.2998046875,18711.490234375,18.229999542236328,4.614999771118164,3.5390000343322754,3.4649999141693115,3.684999942779541,4.007999897003174,70.91000366210938,73.6500015258789,2.2839999198913574,2.010699987411499,2.1475000381469727,25.18000030517578,2570.699951171875,30.340999603271484,974.7999877929688,1068.300048828125,4.23799991607666,2437.5,1014.0,317.8999938964844,40.9900016784668,412.75,575.75,355.25,15.46500015258789,263.1499938964844,7814.0,21.15999984741211,69.68000030517578,178.3000030517578,242.8249969482422,82.05000305175781,496.1499938964844,100.5999984741211,1.1160000562667847,0.00710699986666441,1.3246999979019165,0.7370499968528748,1.1976499557495117,0.6790500283241272,0.6233500242233276,61649.6796875,103.9921875,110.0234375,114.640625,125.96875,561.4000244140625,99.58999633789062,471.44000244140625,187.3000030517578,60.88999938964844,79.91999816894531,113.25
2024-09-19,5717.75,19850.25,42057.0,2255.0,37695.0,4943.3798828125,19002.380859375,16.329999923706055,4.5929999351501465,3.556999921798706,3.503000020980835,3.740000009536743,4.072000026702881,71.94999694824219,74.87999725341797,2.3480000495910645,2.059999942779541,2.171999931335449,26.100000381469727,2588.0,31.0939998626709,994.0999755859375,1100.4000244140625,4.285999774932861,2463.25,1013.25,319.8999938964844,41.75,405.75,565.5,364.5,15.520000457763672,261.6499938964844,7750.0,21.93000030517578,71.58000183105469,179.97500610351562,245.27499389648438,82.25,476.1499938964844,100.61000061035156,1.1175999641418457,0.007031999994069338,1.3282999992370605,0.7381500005722046,1.1919499635696411,0.6822999715805054,0.6249499917030334,62940.45703125,104.046875,109.8671875,114.328125,125.0,570.97998046875,99.26000213623047,483.3599853515625,189.1999969482422,62.060001373291016,80.16000366210938,113.3499984741211
2024-09-20,5699.990234375,19808.009765625,41946.08984375,2244.449951171875,38125.0,4871.5400390625,18720.009765625,16.149999618530273,4.545000076293945,3.5380001068115234,3.4839999675750732,3.7279999256134033,4.071000099182129,71.91999816894531,74.48999786376953,2.434000015258789,2.036400079727173,2.1614999771118164,27.18000030517578,2619.89990234375,31.176000595092773,981.5999755859375,1079.9000244140625,4.281499862670898,2402.25,1012.0,317.3999938964844,42.15999984741211,401.75,568.5,367.0,15.555000305175781,250.75,7658.0,22.65999984741211,72.20999908447266,182.47500610351562,244.8249969482422,82.2249984741211,490.8500061035156,100.72000122070312,1.1174999475479126,0.006971000228077173,1.3317999839782715,0.7379500269889832,1.187150001525879,0.6814500093460083,0.6243500113487244,63192.9765625,104.09375,109.9453125,114.84375,125.25,568.25,98.87999725341797,482.44000244140625,188.63999938964844,61.41999816894531,80.26000213623047,113.44999694824219
2024-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63394.83984375,,,,,,,,,,,
2024-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63648.7109375,,,,,,,,,,,
2024-09-23,5776.75,20080.0,42501.0,2243.199951171875,38265.0,4885.56982421875,18846.7890625,15.890000343322754,4.502999782562256,3.5450000762939453,3.496000051498413,3.739000082015991,4.081999778747559,70.37000274658203,73.9000015258789,2.61299991607666,1.9902000427246094,2.1451001167297363,28.0,2626.5,30.767000198364258,961.5,1046.9000244140625,4.289000034332275,2408.0,1039.25,326.5,42.619998931884766,413.5,582.5,368.75,15.545000076293945,263.6499938964844,7786.0,22.549999237060547,71.69999694824219,183.25,245.10000610351562,82.30000305175781,474.5,100.91999816894531,1.1125999689102173,0.006998000200837851,1.3345999717712402,0.7409999966621399,1.1922500133514404,0.6848999857902527,0.6279000043869019,63329.80078125,104.08984375,110.0,114.765625,125.125,569.6699829101562,98.66999816894531,483.0400085449219,189.5,61.709999084472656,80.11000061035156,113.29000091552734
